content,注释,解说,喻,audio file uuid,page,tag
行运先生看病尾。,"①、行运：走运的。

②、先生：此处指医生。

③、病尾：病将愈时。

④、",多数疾病从发病到病愈有一个自然过程，病人性急，吃两天药不见好就转诊换大夫，往往总把痊愈的功劳都归功到最后接诊的医生“妙手回春”。,,e375ed80-160e-4e22-94d1-939d224bae01,41,养生健康
男惊颂靴，女惊戴帽。,"①、惊：怕。

②、颂靴：穿靴，此处委婉指下肢肿胀。

③、戴帽：委婉指头部肿。

④、",民间经验认为重病人出现这样的症状已经临危。,,2b9fc4c1-ec52-42a1-b957-a505101eff0f,41,养生健康
嘴无收，股川飚。,"①、收：收敛，指忌口禁食。

②、股川：福州话“屁股”的意思。

③、飚：迸发。

④、",不严格忌口，止不住腹泻。,,6e14700b-fc2f-492e-b944-6ab1b2b9f6b5,41,养生健康
官急无拆私急。,"①、无拆：比不上。

②、私急：指急于上厕所。",,,4abd2a06-b6ad-4f0f-a92d-3b6d5ee014d4,41,养生健康
天光眠，夹骨肉。,"①、天光眠：黎明时的睡眠最香甜。

②、夹骨肉：附在骨头上的肉最鲜美。",,,b687dda3-d6cb-4a19-b59e-8edc28014656,42,养生健康
六十莫留冥，七十莫留昼。,"①、六十、七十：指年龄。

②、莫留冥：不留过夜。

③、昼：午、午饭。

④、",老年人的突发病多而后果难测。主人虽好客，但人命关天，责任太重，以谨慎为宜。特别是老年人外出不易保持在家里养成的习惯，易出意外。,,f943051f-c6b7-4cef-83e8-cbd72f996be1,42,养生健康
七溜八溜，无拆福州。,"①、七溜八溜：东游西逛，走南闯北。

②、无拆：（哪儿都）比不上。

③、",爱乡之情溢于言表。在外地人眼里，福州并没有多少特别值得称道之处。,,d600d2dc-67ec-4b18-a834-5d9634afef68,42,人生态度
活𠲥若伓乐，死去硬核核。,"①、活礼：活着。礼：动态助词“着”的意思。

②、若：要是。

③、不乐：不及时行乐。

④、硬核核：硬梆梆。

⑤、",人生苦短，及时行乐。,,11bfb317-e541-4b06-920d-a6f1ddf45598,42,人生态度
未生侬，先生命。,"①、侬：人。

②、命：命运。

③、",迷信者认为命运是先天注定的。,,6de97901-0e11-4308-bb47-4acbab91e1e1,43,人生态度
侬养侬，俪是骨；天养侬，肥确确。,"①、侬：人。

②、养：此处引申指给予供养、照顾。

③、俪是骨：只是骨头，喻指养不肥，仅能活命而已。

④、肥确确：胖乎乎，此处借喻富裕。",,,d75fa339-f35c-4dcb-a52b-a0882989bd64,43,人生态度
皇帝有钱，𣍐买万万岁。,"①、不买：买不到。

②、",没有人能够长生不老，如果贵重的补品真能延年益寿，有钱人都成了千年老乌龟。,,c9138ea4-19fc-46b1-b7ed-006acbe2c637,43,人生态度
乞食伓过烂柴桥。,"①、乞食：乞丐。

②、伓：不，不愿。

③、柴桥：木桥。

④、",好死不如歹活。,,478d1cdf-fd99-4ccd-987c-386bae4fa6af,44,人生态度
留命看太平。,,黄河五百年一清，不知从何年起算，反正人还活着就有希望。,,517b2167-19e4-4d40-b255-8e3492d3d275,44,人生态度
旧其无去，新其𣍐来。,"①、旧其：旧的。

②、无去：没有失去。

③、新其：新的。

④、",通常是在不小心打了茶壶或丢了雨伞后引用此谚。,,2166a9a8-9e8e-4d99-8535-a7e7c8d0e9a9,44,人生态度
破财益命。,,破财消灾。想到也许因此而避免更严重的灾祸，可以略感安慰。,,5294ba70-6923-45fa-b0d3-bfc1801b59f0,44,人生态度
有鸡有鸡米，有囝有囝粮。,"①、鸡米：喂鸡的米。

②、囝粮：孩子的口粮。

③、",凡事都等到条件具备时再办，穷人家就什么事都办不了，有了鸡，总能找到喂鸡的米，生了孩子，好歹总能拉扯成人，船到桥头自然直。,,088ce8eb-4cd9-48d1-b599-93c76f0e3dc1,44,人生态度
无禁无忌，做事都是。,"①、无禁无忌：什么禁忌都不理睬。

②、都是：都对。

③、",很多没有科学依据的民间禁忌，你信则有，不信则无。越迷信，禁忌的花样越多，令人无所适从，何不干脆来个“姜太公在此”，一概不理。,,a8b3e7b7-1aba-438e-b283-8e0b257a1055,45,人生态度
封条总有蜀顿破。,"①、蜀顿：一次。

②、注定要发生的事情迟早总要发生。",注定要发生的事情迟早总要发生。,,d0b8cd9c-a07b-4824-af12-07c147219d71,45,人生态度
有米煮饭伓惊迟。,"①、伓惊：不怕。

②、对结果有把握，等待时间长一些也没关系。",对结果有把握，等待时间长一些也没关系。,,24c2cba7-5cca-4d2d-972c-e973f5313794,45,人生态度
食酒凭间壁桌。,"①、食酒：指参加酒宴。

②、凭：按照······做。

③、间壁桌：邻桌。

④、自己拿不定主意该怎么做时，随大流，总不至于出大错。",自己拿不定主意该怎么做时，随大流，总不至于出大错。,,129ff44f-87af-4019-815a-20b25d8510b4,45,人生态度
皇帝诸侬骂，乞食骂诸侬。,"①、诸侬：每个人。

②、乞食：乞丐。

③、这种骂的主要作用是自我调节心理平衡。阿Q就靠这种平衡一直愉快地活到“大团圆”。",这种骂的主要作用是自我调节心理平衡。阿Q就靠这种平衡一直愉快地活到“大团圆”。,,85dd82c6-13bf-4cc7-b7e2-0438c54548b4,46,人生态度
心间搭搭，伓惊菩萨。,"①、心间：胸口。

②、搭搭：拍一拍。

③、伓惊：不怕。

④、菩萨：福州民间信仰的各种神灵都称为“菩萨”。

⑤、拍拍胸口，问心无愧，不用害怕面对菩萨。“不作亏心事，不怕鬼敲门”。",拍拍胸口，问心无愧，不用害怕面对菩萨。“不作亏心事，不怕鬼敲门”。,,1b5e5397-f34f-405c-92a7-5e2a087b4e13,46,人生态度
和尚侬做其。,"①、侬：人。此处指常人。

②、其：结构助词。“的”的意思。

③、在一般人看来，寺院的清规戒律无法忍受，但毕竟和尚原也是常人。",在一般人看来，寺院的清规戒律无法忍受，但毕竟和尚原也是常人。,,8ea5e77b-05c7-401b-ab2d-bd98ec59be92,46,人生态度
门囝关紧自做侬。,"①、门囝：门儿。

②、自做侬：自已顾自己。

③、鲁迅诗：“躲进小楼成一统，管他春夏与秋冬。”",鲁迅诗：“躲进小楼成一统，管他春夏与秋冬。”,,a6708d5e-a49d-4816-8f0a-adf7592c7d63,46,人生态度
三十未讨姆，讲话臭（月能）膻。,"①讨姆：娶妻。②職膻：奶腥味。

未娶的男子总是令人觉得不成熟。","
未娶的男子总是令人觉得不成熟。",,eedb439a-a73d-4c6a-b0a9-1545de29d358,47,男女婚配
买菜看箂底，讨姆看丈奶。,"①莱底：篮子底部〈的货色〉。莱：〈方言俗字〉篮子。 ②讨姆：娶妻。③丈奶：岳母；按变调特征似应为“长奶” 之误。 ‘

辟】菜版子的担子里底下的货色常与面上的不同。不论外表 还是人品，多观察令岳母就可以大致估计出夫人将来的模

样。
","菜版子的担子里底下的货色常与面上的不同。不论外表 还是人品，多观察令岳母就可以大致估计出夫人将来的模
样。",,81a4e787-630f-432f-82a0-95d10a50154d,47,男女婚配
讨姆看细舅。,"駐】①讨姆：娶妻。②细舅：小舅子。

辟】旧时代姑娘“长在深闽人未识”，议亲时只能靠观察小 薄子来揣測几分。",旧时代姑娘“长在深闽人未识”，议亲时只能靠观察小舅子来揣測几分。,,575c1576-6d0c-4994-8734-91dce0981c18,47,男女婚配
其拣拣，拣𠲥无尾犬。,"①其拣拣：动词“拣”的反复貌衍音形式，“其”写衍 生的音节；挑来挑去。②𠲥：动态助词；了。③无尾犬：没 有尾巴的狗，借喻可笑的蹩脚货色。

【案】婚嫁的决定，多少会有些风险成分，挑来挑去，想做到 万无一失，结果常事与愿违。",婚嫁的决定，多少会有些风险成分，挑来挑去，想做到 万无一失，结果常事与愿违。,,fbb10741-f7bc-46d2-9c06-06cf2b4626b9,48,男女婚配
三分侬样七分妆，七分侬样伓使妆。,"位】①侬样：外表长相。②妆：打扮。③伓使：用不着。

除】常人有三分长相，七分得靠打扮，真有了七分丽质的就 不用打扮了。",常人有三分长相，七分得靠打扮，真有了七分丽质的就 不用打扮了。,,2a9b888d-3606-4e18-aba6-57147e6b499d,48,男女婚配
延平枕，宁德剪，沙县诸娘伓使拣。,"【注】①延平：延平府，即今南平市。②诸娘：妇女。③怀使 拣：不用挑选。

除】延平府出产的皮枕头、宁德出的剪刀都是传统的名牌 货，肩量保证，不用抗选。沙县的妇女与枕头、剪刀并列， 这当然是旧时代买卖婚姻的反映。时过境迁，南平枕头和宁 德剪刀已经风光不再了，如今的“沙县诸妨ノ，如何，恕我有所不知。",延平府出产的皮枕头、宁德出的剪刀都是传统的名牌 货，肩量保证，不用抗选。沙县的妇女与枕头、剪刀并列， 这当然是旧时代买卖婚姻的反映。时过境迁，南平枕头和宁 德剪刀已经风光不再了，如今的“沙县诸妨ノ，如何，恕我有所不知。,,3cd0a7a5-c893-48bc-945d-64efc7de94c9,48,男女婚配
花对花，柳对柳，畚箕对扫帚。,除】“门当户对”是旧观念，但男女双方的各方面情况大致 相当却无疑是穗定婚姻的重要条件。,“门当户对”是旧观念，但男女双方的各方面情况大致 相当却无疑是穗定婚姻的重要条件。,,04693217-a69c-4a94-8895-b187d9c6ae79,49,男女婚配
角唤母，无对讨；母唤角，无得脱。,【注】①角：雄性。②唤：相邀，这里指主动追逐异性。③无 对讨：无处寻，找不到。“对”写同音字。④无得脱：摆脱 不了。“脱”写同义字，方言音“来角”切。,,,958e133b-5d24-4990-a604-44ec4f49eae4,49,男女婚配
讨𣍐着固呆食郑药。,駐】①讨𣍐着：〔找配偶〉找得不对。②固呆：比……还糟 糕。呆：坏；方言音从《广韵》五来切。③郑〈音〉：错。 [^】婚姻是一辈子的大事，找错了对象比吃错了药更要命。,婚姻是一辈子的大事，找错了对象比吃错了药更要命。,,2bc66935-d84f-41c1-9d4c-19aacf2073f1,49,男女婚配
好是好，无糟养猪母。,"【注】无糟养猪母：连喂猪的酒糟也没有，形容极穷。

读】“嫁汉嫁汉，穿衣吃饭”。太穷了，也难怪女家不愿意。
","“嫁汉嫁汉，穿衣吃饭”。太穷了，也难怪女家不愿意。
",,e43a38bc-43cb-4222-9697-6439d23611dc,49,男女婚配
贪财嫁老婿。,駐】老婿：年纪大的丈夫。,独生子自小娇生愤养，难以成为合格的好男人。这是老 话了，不适用于现在的独生子女，但仍提醒我们要注意独生 子女的教育问題。,,aca90e1c-0715-4767-82be-9c6ed4bd5b74,50,男女婚配
蜀介囝伓中做伲婿。,"駐】①蜀介囝：独生子。蜀：一。介：量词；个。②伓中： 不中（用〉。③伲婿：女婿。

读】独生子自小娇生愤养，难以成为合格的好男人。这是老 话了，不适用于现在的独生子女，但仍提醒我们要注意独生 子女的教育问題。",,,400bace8-4165-4cac-92d1-efef49f3bf4b,50,男女婚配
媒侬百二顿，养囝固蜀顿。,"駐】①媒侬：媒人。②百二顿：〈酬谢媒人，请吃〉一百二 十顿饭。③养囝：生孩子。④固：还。⑤蜀顿：一顿。

【案】谢媒要请吃一瓦二十顿酒饭，大约是夸张说媒人功劳 大。不知旧日是否真有这个例。",,,23e32b11-c736-4115-94e9-4b6cc02022ab,50,男女婚配
柴米夫妻，酒肉朋友。,读】用哲学语言表达就是：夫妻是第一性的，朋友是第二性 的。年轻的先生有时不太注意这条原理。,用哲学语言表达就是：夫妻是第一性的，朋友是第二性 的。年轻的先生有时不太注意这条原理。,,d08c9757-3444-4f20-926b-1e698611af1c,50,男女婚配
老妈老妈，睏暗起早。,"【注】①老妈：老婆。②睏暗：睡得晚。

【案】妇女搮持家务，从早忙到晚。不过近年来情况有了一些改变。据报载的社会调查的结果，清展上菜市场的男性居多，不知是否属实。",妇女操持家务，从早忙到晚。不过近年来情况有了一些改变。据报载的社会调查的结果，清展上菜市场的男性居多，不知是否属实。,,1391a29a-282e-4caa-b23b-0878eabbf9fa,51,男女婚配
未睏三顶席，心事摸𣍐着。,"【注】①未睏三顶席：还没睡烂三张席子。睏：睡。②摸𣍐着： 摸不着。

【案】夫妻往往要共同生活几年后才能真正互相了解。",,,da842841-0f90-4035-acec-f82471ea6a77,51,男女婚配
自家文章，别侬老妈。,"【注】①自家：自己。②别侬：别人。③老妈：老婆。

【案】北方俗语说：“文章是自己的好，老婆是人家的好。”我还听说过另外一条谚语：“勒子在哪里夹脚了只有自己知

道。，’
","北方俗语说：“文章是自己的好，老婆是人家的好。”我还听说过另外一条谚语：“勒子在哪里夹脚了只有自己知

道。，’
",,a43514ef-3a5e-40c1-b36a-98a5c5127fd1,51,男女婚配
容猫上灶，容囝不孝。,"駐】①容：一味宠爱，不加管束。②囝：儿子，此处泛指子

女。

除】北方俗语说得更直截了当：棍棒底下出孝子。",北方俗语说得更直截了当：棍棒底下出孝子。,,290488f0-058d-4571-8629-cabe8ff82487,51,家庭生活
学好三年，学呆三日。,"【注】呆：坏；方言音从《广韵》五来切。

臨】人性本恶，向善不易，而堕落却很快。教育子女必须时 时防微杜漸。",人性本恶，向善不易，而堕落却很快。教育子女必须时 时防微杜漸。,,2125a51e-3f5b-4d41-bc10-e0a7eef306be,52,家庭生活
无好大，害𠲥细。,"【注】①无好大：品行不好的长辈。②𠲥：动态助词；了。③ 细：幼小，此处指晚辈。

读】长辈的不良言行将影响晚辈，最终害了他们。",,,d50377d6-e629-4a11-86cb-2a3ff03e6bb6,52,家庭生活
桌悬讨侬嫌。,駐】①悬：高；俗写同音的“咸”字。②讨侬嫌：招人讨厌。 除】孩子长到桌子那么高时，就越来越顽皮了。,孩子长到桌子那么高时，就越来越顽皮了。,,b1f6af70-9cde-4503-97dc-387c02a14032,52,家庭生活
爹会奶会，无拆自家会。,駐】①会：泛指掌握生活或生产的技能。②奶：母亲。③无 拆：抵不上。④自家：自己。陳】,"父母应该培养複炼子女掌握各种必要的技能，不要一切

包办代替。",,87f93f69-c066-4f32-8877-3b90ebacaf7a,52,家庭生活
三代无骂天，养囝中状元。,"駐】①无骂天：没有怨天尤人。②囝：儿子。

辟】要改变命运应当自强不息，人自助然后天助，怨天尤人 不会有任何结果。",要改变命运应当自强不息，人自助然后天助，怨天尤人 不会有任何结果。,,eca2e88a-1206-4835-bca7-fd8663379163,53,家庭生活
歪奶做鞋歪囝颂。,"駐】①奶：母亲。②囝：儿子。③颂：穿。

險】有其母必有其子。母亲的人品对子女的个性形成有决定 性的影响。",有其母必有其子。母亲的人品对子女的个性形成有决定 性的影响。,,027a2577-a810-430b-a8bf-b6b3afa671e0,53,家庭生活
手心是肉，手𩩍也是肉。,"【注】手髀：手背。

辟】子女都是亲骨肉，不应厚此薄彼。",子女都是亲骨肉，不应厚此薄彼。,,dcc19405-8d92-4c34-b0e7-689eecd50b0e,53,家庭生活
呆囝细心豢。,"駐】①呆囝：坏孩子。此处指先天不足、体弱多病爱哭闹的小儿。呆：坏；方言音从《广韵》五来切。②豢：照料喂养。 读】对体弱
",,,13b92cdc-4efa-4d73-9e18-d27fc954b177,53,家庭生活
罢奶疼呆囝，皇帝疼奸臣。,"駐】①罢奶：父母。②呆囝：坏孩子，此处指品行不良的子 女。

辟】",福州话又称这样的子女为“讨债囝”，俗说为父母者前 世欠债未还，債主投胎来讨请。荒诞的现象只能作荒诞的解说。,,f80d27b0-5a2c-428d-bfe8-8a0ba2bf2b99,54,家庭生活
好囝伓使価，呆囝载其无。,駐】①囝：儿子。②伓使：不用。③俩：〈方言俗字〉多。 ④呆囝：品行不良的子女。⑤载其：宁可。,,,0abbfff2-4277-4b5a-82a5-9b9e48d4f797,54,家庭生活
伲囝痞，大侬灾。,"駐】①伲囝：孩子。②大侬：大人。

",孩子顽皮，处理不当会祸及家长。,,49a513af-987c-425b-abca-602ff6886956,54,家庭生活
鸡上斤，囝上十。,"駐】①上：达到或超过。②囝：儿子。

",以前的家鸡个儿小，哏到一斤多也就盖不多可以宰了； 以前的孩子养到十岁上，在家可以帮家务，送出去可以学艺 打工了。如今的大种鸡，一斤重还只是鸡姓姓；现在的十岁 孩子，能自已洗袜子的就算不错了。,,3097aa89-c4f6-43fc-a2c9-b88bc5c271e5,54,家庭生活
共囝易褪疕，共孙共遘死。,"性】①共：抚养照料。②囝：子女。③褪芘：啤痂。疮愈痂 脱，比喻一个痛苦过程结束。《字汇补》：“庀：匹鄙切，疮 上甲。”④遘：到。

",虽有此叹，老租母们仍乐此不疲。,,488353f6-bd77-41cb-a5b4-83d4ec5c2903,55,家庭生活
等汤噢滚，等囝噢大。,"极】①汤：开水。②滚：《水烧）开。③等囝：等着孩子 (长大成人）④噢〈音〉：不易。
","
辟】对结果的盼望越急切，过程越难熬。",,2f5569a2-c31f-41f3-909f-6bf239e4e9ae,55,家庭生活
罢奶疼尾囝，公妈疼长孙。,"駐】①罢奶：父母。②尾囝:最小的孩子。③公妈:祖父祖母。
",,,254842ca-3566-41f5-9664-f742c244857c,55,家庭生活
载扛三斗米，伓抱伲囝疕。,"駐】①载：宁可。②伓：不愿。③伲囝庀：小孩儿。

陳】",米袋子怎么扛都行，而抱孩子得让孩子感到舒服，所以 特别累人。,,194df5f2-e1d0-401b-b091-749bdbb1a588,56,家庭生活
死郎罢，俪蜀下；死娘奶，苦遘底。,"駐】①死：此处作及物动词。②郎罢：父亲。③偭：〈借用 字〉仅。④蜀下：一下，指短时间的痛苦。⑤娘奶：母亲。 ⑥遘底：到底。

陳】",对年幼的子女来说，母爱远比父爱重要。,,d2b1f82f-0f00-4ce4-904c-1ece2b984255,56,家庭生活
洪塘囝，伓八爹。,"駐】①洪塘：福州西郊的洪塘乡。②囝：儿子，孩子。③伓 八：不知道。

读】",洪埯一带地狭人多，传统上男子多离家外出打工经商， 经年不归，以致孩子都“相见不相识” 了。,,ed082ffb-32e4-4121-9d5f-ca67b0bac2b7,56,家庭生活
五十五，固蜀孵。,駐】①五十五:指妇女年龄。②固:还。③蜀孵“生)一胎。 陳】,此谚当然戏该的成分多，但“耆蚌生味”也并非绝无仅 有。计生工作任重而道远。,,a9271b3e-084e-46d2-a7b5-a3d2856b7d09,56,家庭生活
鱼弟肉妹。,,猜测胎儿性别是人们永恒的兴趣。这里的说法是乎妇想 吃鱼则生男，想吃肉则生女。不知鱼肉都想或都不想者又作 何解。,,edf7791f-3bb0-48d5-ae25-845d27064dbb,57,家庭生活
爬弟𢵣妹。,採：〈方言俗字〉蹭擦，此处指婴儿坐着靠手的力量向 前后移动身体。,这是另一种猜测胎儿性别的方法。在未实行独生子女政 策之前，往往前个婴儿尚未学走路，母亲涞胎又结。婴儿爱 俯身爬动的将有一个弟弟，爱坐着趱的将有个妹妹。这条经 验现在已不易验证了。,,8bd9b10f-97c1-4c09-be08-dfa2689501f3,57,家庭生活
七成八败九成人。,,"辟】怀胎九月产下的的婴儿将正常成长。/乂个月的早产儿在 医疗卫生条件不佳的时代凶多吉少，而只孕育了七个月的 早产儿成活的希望反而大，不知是什么道理。谚语总是从众 多的经验中总结出来的，可能片面，但不至于瞎说。
",,fd9c246c-8a11-4b77-a1f9-56d4893fc158,57,家庭生活
风吹单条竹。,"駐】单条竹：孤零零的一杆竹子，此处喻指独子。

",孤竹易折，独子易夭。当然这是医疗卫生条件差的旧时 代的经验。,,6816eb5d-b270-4e54-ae23-f1ae11f8269a,58,家庭生活
蜀条烛，点𠲥岸岸光。,"【注】①蜀条：一根。②𠲥：结构助词；得。③岸岸光：亮堂 堂。岸〈音〉：明亮。

",除】福州丧俗，在灵床前点红烛，死者有几个儿子就点几根 烛。此谚喻独子有出息。,,fe51a735-4ba6-43d0-8b86-ece4d1604bdd,58,家庭生活
公众厅中无侬扫，多子罢奶无对讨昼。,"駐】①公众：公用的。②厅中：旧式民宅的正堂大厅。③无 侬扫：没有人打扫。④罢奶：父母。⑤无对：无处。对 〈音〉：地方。⑥讨昼：吃午饭。
",,,583bb80c-164f-4820-90f0-3657bb1dc8ec,58,家庭生活
牛着使钱买，囝着破腹生。,"歧】①着：要，必须。②使：用。③囝：儿子。④破腹生:亲生。

I案】",自己花钱买的牛用起来才能得心应手，自己生的儿子才 会幸顺父母。,,92706ce8-eec9-4801-8efa-24903ebd5ccf,58,家庭生活
讨𠲥新妇去𠲥囝。,"【注】①𠲥：动态助词，相当于“了”。②新妇：儿媳。③去: 失去。④囝：儿子。

辟】",儿子不孝往往归咎于儿媳的不良影响。可怜天下父母,,465d3dd0-3a40-4be6-afc8-e2d66a00203b,59,家庭生活
日头弹倒车，新妇管台家。,①日头：太阳。②弹倒车：倒着旋转。③台家：婆婆， 或写作“大家”。,按旧俗，婆婆管妓妇天经地义，媳妇倒过来管教婆婆无 异于西边出太阳。,,ac034cb9-ffa9-4165-b7bf-ed471dd358a4,59,家庭生活
做侬新妇着省配，蜀头虾米咬两嘴。,①做侬新妇：做别人家的媳妇。②着：要，必须。③省 配：进餐时少吃菜，反之叫“大配”。配：下饭的菜。④蜀 头：一只。⑤咬两嘴：分两口吃。,在物屑匮乏的年代，“省配”是一种为人称道的美德。虽 时过境迁，这条谚语的“精神实屑”仍可玩味。,,d724b3b0-2df6-443f-8113-3510e406f81d,59,家庭生活
偷食台家疑新妇。,①偷食：偷吃；或借喻指偷情。②台家：婆婆。③新妇: 媳妇。,,,3ae4698f-97e6-49d5-9356-39546e8ef71a,60,家庭生活
乍讨新妇月裡囝。,①乍讨：刚娶的。②新妇：媳妇。③月裡图：未满月的 婴儿。,"刚过门的媳妇和初生的婪儿都特别招人喜爱。
",,cf161e5e-100f-4a43-9d90-244f38574f6a,60,家庭生活
孝顺诸娘囝着天边，不孝新妇着身边。,,女儿总是要嫁，儿子总得要娶，这是自然规律。老人既 随儿子生活，总得与媳妇相处，要顺应家庭结构的变化，处 理好婆媳关系。毕竟孝与不孝，一半是事实，一半是感觉。,,aeb9523b-dff0-4219-82c2-89ad63aaaf99,60,家庭生活
丈奶疼伲婿，酒瓶搭搭盖。,①丈奶：岳母。按连读变调逆推，本字可能是“长奶”。 ②伲婿：女婿。③酒瓶：斟酒的锡壶。④搭搭盖：〖盛酒）满 到壶盖。,,,2fce9174-3d72-42a6-ac1d-0f0108665de0,,亲戚关系
丈侬攀讲馆，丈奶点心店。,①丈侬：岳父。②攀讲馆：即茶馆。攀讲：聊天。③丈 奶：岳母。,"姑爷来作客，一般总是岳父陪着聊天，岳母则忙着煮点

心。

伲婿半爿",,aff180d7-51a5-4502-899d-c44f17ceaafc,,亲戚关系
伲婿半爿囝。,】①伲婿：女婿。②半另：半个。③囝：儿子。,,,befa9e11-f67d-4846-a6e7-9376e57fff3d,,亲戚关系
伲婿中秀才，不如我囝拾田螺。,①伲婿：女婿。②我囝：我的儿子。,儿子是自己的好，女婿虽亲终究隔了 一层。,,e8b78c5d-00f5-4372-bbc2-6c868616fc88,,亲戚关系
伲婿别侬囝。,①伲婿：女婿。②别侬囝：别人家的儿子。,"岳父母说这话时，姑爷能问心无愧吗？
",,842345b7-8c6b-480f-b09f-2bd2ef954fdd,,亲戚关系
凊饭放𠲥酸，无疼外甥孙。,①清饭：冷饭，剩饭。②放𠲥酸：搁着让它发馊。𠲥: 动态助词；着。③无疼：不疼爱。④外甥孙：外孙。,女婧是别人家的儿，外孙是别人家的孙。就说是由于宗 法观念作祟，也不至于如此绝情。这多半是一句玩笑话。,,0bbd63a5-4484-4281-bfb4-9ac792f1879e,,亲戚关系
天上雷公，地下舅公。,,"闽俗在三亲六戚中数寿公（祖母的兄弟〕的权威最大， 这似乎是对父系宗法制度的一种补偿。
",,3724a52d-c81f-49a1-8551-876163e5913c,,亲戚关系
亲姨娘奶面。,①娘奶：母亲。②面：面容。,嫡亲的姨妈不仅面容像母亲，而且和母亲一样慈爱。,,889092cd-3fac-4e5e-b9cc-f2048f6fd0a5,,亲戚关系
外甥多似舅，侄女像家姑。,,"男孩子往往长得像母亲，所以“似寿”；女孩子多随父亲，因此“像家姑”。
",,f062988f-0aa3-434d-85ee-4c7726c84cce,,亲戚关系
亲戚姜姆汤。,姜母汤：姜汤，喻辛辣。姜姆：姜。,从亲戚关系中可以体验到脉林溫情，也能体验到人情冷 暖，世态炎凉。,,7d00011c-499d-4689-8bfd-b10309a9a96d,,亲戚关系
田园日日去，亲戚淡淡行。,】淡淡行：疏淡地往来。,料理田园却一日不得荒兢，亲戚间来往则不必过勤。,,5be30bab-f28a-4485-bd5c-9c31c32aadce,,亲戚关系
乌头叔，白头孙。,①乌头：黑头发，指年轻的。②孙：侄儿。,在一个大家族中，箄分和年龄往往倒挂，同龄人可以相 差两三辈。,,50739541-2eb3-4284-9296-e8c80580947f,,亲戚关系
载住粪坑厝，伓住外家厝。,】①载……伓……：宁可……也不……。②粪坑厝：厕所。 ③外家厝：娘家的房子。,旧俗婚后总是妇女从夫居，男住女家即使不是招赘，也 怕被女家族人瞧不起。,,2827d2d3-8c40-4cf9-b964-f2857529c81a,,亲戚关系
三岁孩儿值侬疼，八十婆婆讨侬嫌。,①值侬疼：惹人喜爱。②讨侬嫌：叫人讨厌。,希望这只是老年人幽默的自我打趣。,,ca9abc78-212d-4fba-ae76-ac415754aed7,,亲戚关系
皇帝也有草鞋亲。,草鞋亲：贫贱的亲戚。,,,52678add-713f-443b-b682-25a8d3ea221d,,亲戚关系
钱财无露眼。,无露眼：不要露在外面叫人看到。,防人之心不可无。,,8363fc4f-412b-4cd1-a882-ef6c6ce073b7,,钱财生计
蜀介钱买针，也着看鼻。,"①蜀介钱：一个铜板。②着：要。③鼻：指针鼻，即针 眼。
",购物无论责贱，总要先看清货色。,,b60e4e21-7835-495a-87bb-1178d9b55b21,,钱财生计
福州价，半半价。,半半：一半。,"福州的市场上盞行讨价还价，生意人往往加倍要价，有 经验的顾客至少是对折还价，不熟悉这个习慣的外乡人往

往要吃亏。",,7a310670-fcd4-41ae-804b-3a24699f5dce,,钱财生计
有错买，无错卖。,,市场上讨价迈价看似公平，结果吃亏的总是消费者。,,ae0c0161-33d2-4a0a-86a7-1736040236f3,,钱财生计
便宜无好乇，好乇𣍐便宜。,①乇：〈方言俗字〉东西，货色。②𣍐：〈方言俗字〉不 会。,,,5f950bf8-108d-4973-8132-ab4ce5232081,,钱财生计
千赊不如八百现。,,"“二鸟在林，不如一鸟在手”。赊账一千，还不如现钱八 百。如今饱受“三角债”之苦的企业领导人对此体会尤深。
",,72b3c3ba-e5ce-42fc-a235-14ba58c4be97,,钱财生计
亲兄弟，明算数。,①明：当面。②数：账目。,即使亲如兄弟，也还是把脒当面算清为好。,,fa01f866-78b5-486b-a50f-de712e626797,,钱财生计
刣头生意有侬做，蚀本生意无侬做。,"①釗头：杀头。剖：〈方言俗字〉宰杀，本字“治”。 ②侬：人。
",,,687ec8ab-5ba6-4b51-a7c3-16e545a81a64,,钱财生计
拾𠲥缚腿带，家伙去蜀堂。,①𠲥：动态助词；了。②缚腿带：绑腿。③家伙：家产。 ④去：损失。⑤蜀堂：一套〔家具等乂 辟】,民间寓言故事说：某人拾得一副绑腿带，为了与之私套， 便花钱买了一双新鞋，又为了新鞋，再添置新裤掛……直至 车马飧仆等，耗尽了枳蓄。这則寓言中揭示的消费心理学原 理值得商家反复揣摩。,,b1cef040-884c-4b0f-b15f-899908f07927,,钱财生计
“贫”字共“贪”蜀样写。,①共：与。②蜀样：同样。,“贫”与“贪”字形相似，写得潦草些看上去差不多。此 诗说明贪心不足也往往成为玫贫的原因。,,676595ab-befb-4f47-bef6-1cc06ad0ffba,,钱财生计
贪便宜，去倒长。,"①去：损失。@倒：反而。③长：此处指“多”。
",,,0dad5dfc-2bed-4397-9568-257afc5eb15a,,钱财生计
金银成堆山，不如蜀扁担。,①成堆山：形容很多。②蜀：一。,坐吃山空，劳动本领才是生活的依靠。,,e16b1a5f-20ca-4fa9-b549-24f76776cef7,,钱财生计
